	hashed_posts	hashed_entities
0	Just discovered the best coffee spot in town â˜• Check it out â†’ <hashed_entity><url_hash>f3442bcf31cfdd30065901ff60d5927a</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:f3442bcf31cfdd30065901ff60d5927a	net_loc5ababd603b22780302dd8d83498e5172"
1	When life gets blurry, adjust your focus ğŸ“¸ <hashed_entity><url_hash>77b3526cf5c25974e176acf187ad6734</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:77b3526cf5c25974e176acf187ad6734	net_loc5ababd603b22780302dd8d83498e5172"
2	Canâ€™t believe itâ€™s already Friday again ğŸ˜… <hashed_entity><url_hash>0c235f77f6aa8ce10e838742faa5373e</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:0c235f77f6aa8ce10e838742faa5373e	net_loc5ababd603b22780302dd8d83498e5172"
3	AI is cool until it starts correcting your jokes ğŸ˜‚ <hashed_entity><url_hash>ca3dbccf917c0ecf35ce4b821e2a1789</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:ca3dbccf917c0ecf35ce4b821e2a1789	net_loc5ababd603b22780302dd8d83498e5172"
4	That moment when your code finally runs without errors ğŸ‰ <hashed_entity><url_hash>b77144869e3b53ce256778068d32e0a4</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:b77144869e3b53ce256778068d32e0a4	net_loc5ababd603b22780302dd8d83498e5172"
5	Long walks + good music = therapy ğŸš¶â€â™‚ï¸ğŸ¶ <hashed_entity><url_hash>e66e778b0173f1c232aebcf9fa3898c1</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:e66e778b0173f1c232aebcf9fa3898c1	net_loc5ababd603b22780302dd8d83498e5172"
6	Trying new recipes and making a mess in the kitchen ğŸ <hashed_entity><url_hash>dd77d6033d44d4d9f9efbf3ffe2de491</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:dd77d6033d44d4d9f9efbf3ffe2de491	net_loc5ababd603b22780302dd8d83498e5172"
7	Small progress is still progress ğŸŒ± <hashed_entity><url_hash>704d5ec0cee9a96905c22d43638fd03c</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:704d5ec0cee9a96905c22d43638fd03c	net_loc5ababd603b22780302dd8d83498e5172"
8	Missed my bus but caught a nice sunrise ğŸŒ… <hashed_entity><url_hash>97ef211f15004bfad690c12e7b8c276d</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:97ef211f15004bfad690c12e7b8c276d	net_loc5ababd603b22780302dd8d83498e5172"
9	Working on something exciting ğŸ‘€ stay tuned â†’ <hashed_entity><url_hash>0da90cc292e0acc4bb07d28723b25037</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:0da90cc292e0acc4bb07d28723b25037	net_loc5ababd603b22780302dd8d83498e5172"
10	The internet never sleepsâ€¦ and neither do I ğŸ’» <hashed_entity><url_hash>6f75228bb66a62df9a275e935d15b92a</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:6f75228bb66a62df9a275e935d15b92a	net_loc5ababd603b22780302dd8d83498e5172"
11	Just vibing with my playlist ğŸ§ <hashed_entity><url_hash>a4c5414a6552f1fca46f6e81e00578dc</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:a4c5414a6552f1fca46f6e81e00578dc	net_loc5ababd603b22780302dd8d83498e5172"
12	If you can dream it, you can meme it ğŸ˜ <hashed_entity><url_hash>0a6f57acb5be48d4cae717ba01a40d09</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:0a6f57acb5be48d4cae717ba01a40d09	net_loc5ababd603b22780302dd8d83498e5172"
13	Travel plans loading âœˆï¸ <hashed_entity><url_hash>09e32ba3ddeaeac9003221f55e6f4736</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:09e32ba3ddeaeac9003221f55e6f4736	net_loc5ababd603b22780302dd8d83498e5172"
14	Itâ€™s a â€œthree cups of coffeeâ€ kind of morning â˜•â˜•â˜• <hashed_entity><url_hash>13926bc9bdb8ee5936d3fa730755c2ca</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:13926bc9bdb8ee5936d3fa730755c2ca	net_loc5ababd603b22780302dd8d83498e5172"
15	New blog post is live! <hashed_entity><url_hash>90fdda07a32fe8929c8a9ca40848306b</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:90fdda07a32fe8929c8a9ca40848306b	net_loc5ababd603b22780302dd8d83498e5172"
16	Canâ€™t stop scrolling, send help ğŸ“± <hashed_entity><url_hash>896f9d8798f181ddaeb8b24206052972</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:896f9d8798f181ddaeb8b24206052972	net_loc5ababd603b22780302dd8d83498e5172"
17	The future is built, not predicted ğŸ”§ <hashed_entity><url_hash>90e2d8c29f2f8f46dce367524de6872f</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:90e2d8c29f2f8f46dce367524de6872f	net_loc5ababd603b22780302dd8d83498e5172"
18	Coffee first, adulting later â˜• <hashed_entity><url_hash>ab109f7eadd73e28732e47ebcb728f76</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:ab109f7eadd73e28732e47ebcb728f76	net_loc5ababd603b22780302dd8d83498e5172"
19	Mondays need a skip button ğŸ˜© <hashed_entity><url_hash>89b2c1b60586e1d40ad71c7cc2e47fe3</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:89b2c1b60586e1d40ad71c7cc2e47fe3	net_loc5ababd603b22780302dd8d83498e5172"
20	Just saw a dog wearing sunglasses. Best day ever ğŸ¶ğŸ•¶ï¸ <hashed_entity><url_hash>ac29ad3ecaa218b377febdde51d0cab2</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:ac29ad3ecaa218b377febdde51d0cab2	net_loc5ababd603b22780302dd8d83498e5172"
21	That post-work nap hit different ğŸ˜´ <hashed_entity><url_hash>5079d28cbf538c84fa3316b37f3a5223</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:5079d28cbf538c84fa3316b37f3a5223	net_loc5ababd603b22780302dd8d83498e5172"
22	Trying to balance work and life likeâ€¦ âš–ï¸ <hashed_entity><url_hash>97513bf2e60c5633c0734b45d1dba6c3</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:97513bf2e60c5633c0734b45d1dba6c3	net_loc5ababd603b22780302dd8d83498e5172"
23	Found an old photo and felt 100 years older ğŸ˜‚ <hashed_entity><url_hash>11943885f7982d768e603711f7666128</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:11943885f7982d768e603711f7666128	net_loc5ababd603b22780302dd8d83498e5172"
24	Every great idea starts with a â€œwhat ifâ€¦â€ ğŸ’¡ <hashed_entity><url_hash>2a7d1a1a39285483e486b0ac44875da8</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:2a7d1a1a39285483e486b0ac44875da8	net_loc5ababd603b22780302dd8d83498e5172"
25	Be kind, stay curious, keep learning ğŸ’¬ <hashed_entity><url_hash>b697e1ebe7cc8b64ef1b93fdd264dc76</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:b697e1ebe7cc8b64ef1b93fdd264dc76	net_loc5ababd603b22780302dd8d83498e5172"
26	Another day, another bug ğŸ› <hashed_entity><url_hash>0771d1de2d649d9fdeb066493966d6ae</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:0771d1de2d649d9fdeb066493966d6ae	net_loc5ababd603b22780302dd8d83498e5172"
27	100% chance of procrastination today ğŸ˜… <hashed_entity><url_hash>45d43f9bee04c50782a2dcbd34118321</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:45d43f9bee04c50782a2dcbd34118321	net_loc5ababd603b22780302dd8d83498e5172"
28	Sunsets > deadlines ğŸŒ‡ <hashed_entity><url_hash>546ed0aaaecada18f270fe1390454f51</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:546ed0aaaecada18f270fe1390454f51	net_loc5ababd603b22780302dd8d83498e5172"
29	Just updated my profile picture. Big move. <hashed_entity><url_hash>d7f05654910bffaa72c2415958e10b49</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:d7f05654910bffaa72c2415958e10b49	net_loc5ababd603b22780302dd8d83498e5172"
30	If Wi-Fi were a person, Iâ€™d marry it ğŸ’ <hashed_entity><url_hash>c8e19e7b08b9de10df2473dd6db7943d</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:c8e19e7b08b9de10df2473dd6db7943d	net_loc5ababd603b22780302dd8d83498e5172"
31	Still waiting for flying cars ğŸš—ğŸ’¨ <hashed_entity><url_hash>ac91b2ab4a2211da58f1df6eb77591cc</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:ac91b2ab4a2211da58f1df6eb77591cc	net_loc5ababd603b22780302dd8d83498e5172"
32	You had me at â€œfree pizzaâ€ ğŸ• <hashed_entity><url_hash>23fb150ea4af85620e9b0fab0eaf1cff</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:23fb150ea4af85620e9b0fab0eaf1cff	net_loc5ababd603b22780302dd8d83498e5172"
33	Making plans Iâ€™ll probably cancel later ğŸ˜¬ <hashed_entity><url_hash>d133cb95309fc69edc612cbe7ff33807</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:d133cb95309fc69edc612cbe7ff33807	net_loc5ababd603b22780302dd8d83498e5172"
34	Cloudy with a chance of overthinking â˜ï¸ <hashed_entity><url_hash>f07724e3723d96165390b68f52c889e0</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:f07724e3723d96165390b68f52c889e0	net_loc5ababd603b22780302dd8d83498e5172"
35	Laughing at my own jokes since 2000 ğŸ˜‚ <hashed_entity><url_hash>588d7e7247d860257540bc80ebd5c538</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:588d7e7247d860257540bc80ebd5c538	net_loc5ababd603b22780302dd8d83498e5172"
36	Sleep is my favorite productivity hack ğŸ˜´ <hashed_entity><url_hash>12760daa39726e5bc8e73ae0ae97ecb6</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:12760daa39726e5bc8e73ae0ae97ecb6	net_loc5ababd603b22780302dd8d83498e5172"
37	Good vibes only ğŸŒˆ <hashed_entity><url_hash>59218572e246cfded2938e5687caecc0</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:59218572e246cfded2938e5687caecc0	net_loc5ababd603b22780302dd8d83498e5172"
38	Sometimes all you need is a reset ğŸ”„ <hashed_entity><url_hash>aab4eb9a9a9bc6c422cdf0bbc7188b8d</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:aab4eb9a9a9bc6c422cdf0bbc7188b8d	net_loc5ababd603b22780302dd8d83498e5172"
39	Just spilled coffee on my to-do list... guess Iâ€™m free today ğŸ˜… <hashed_entity><url_hash>2fe1d0e4185576d50d843149fc283c3b</url_hash><pld_hash>5ababd603b22780302dd8d83498e5172</pld_hash></hashed_entity>	"res:2fe1d0e4185576d50d843149fc283c3b	net_loc5ababd603b22780302dd8d83498e5172"
